Canon EF 14mm f/2.8L USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 15mm f/2.8 | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 20mm f/2.8 USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 24mm f/1.4L II USM | 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 24mm f/2.8 IS USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 28mm f/1.8 USM | 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 28mm f/2.8 IS USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 35mm f/1.4L USM | 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 35mm f/2 IS USM | 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 35mm f/2 | 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 40mm f/2.8 STM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 50mm f/1.2L USM | 1.2 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 50mm f/1.4 USM | 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 50mm f/1.8 | 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 85mm f/1.2L II USM | 1.2 1.4 1.6 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16
Canon EF 85mm f/1.8 USM | 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 100mm f/2 USM | 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 135mm f/2L USM | 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 135mm f/2.8 (Softfocus) | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 200mm f/1.8L USM | 1.8 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 200mm f/2L IS USM | 2.0 2.2 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 200mm f/2.8L II USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 300mm f/2.8L IS USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 300mm f/2.8L IS II USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 300mm f/4L IS USM | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 400mm f/2.8L IS USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 400mm f/2.8L IS II USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 400mm f/4 DO IS USM | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 400mm f/5.6L USM | 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 500mm f/4L IS II USM | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 600mm f/4L IS II USM | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 800mm f/5.6L IS USM | 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 50mm f/2.5 Compact Macro | 2.5 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon MP-E 65mm f/2.8 1-5x Macro Photo | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 100mm f/2.8 Macro USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 100mm f/2.8L Macro IS USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 180mm f/3.5L Macro USM | 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 8-15mm f/4L Fisheye USM | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 16-35mm f/2.8L II USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 17-40mm f/4L USM | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 24-70mm f/2.8L II USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 24-105mm f/4L IS USM | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 28-105mm f/3.5 USM | 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22
Canon EF 70-200mm f/2.8L IS II USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 70-200mm f/2.8L USM | 2.8 3.2 3.5 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 70-200mm f/4L USM | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF 200-400mm f/4L IS | 4.0 4.5 5.0 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
Canon EF-S 18-55mm f/3.5 | 5.6 6.3 7.1 8 9 10 11 13 14 16 18 20 22 25 29 32
